AV PEDRO II,-19.909533,-43.9651325
B,-19.9166813,-43.9344931
BAHIA,-19.9270805,-43.9380468
BAIRRO,-19.9166813,-43.9344931
BAIRRO DA GRAÇA,-19.9001241,-43.9305636
BAIRRO ESPLANADA,-19.9050527,-43.9031293
BAIRRO FLORESTA,-19.9167038,-43.9293335
BAIRRO GUARANI,-19.8431546,-43.922812
BAIRRO MONTE AZUL,-19.8163923,-43.8927845
BAIRRO PARAÍSO,-19.9214754,-43.9044737
BAIRRO SANTA TEREZA,-19.9152571,-43.9182916
BAIRRO SÃO BERNARDO,-19.8501749,-43.9401023
BAIRRO SÃO FRANCISCO,-19.877338,-43.9561536
BAIRRO SÃO LUCAS,-19.9312811,-43.921023
BAIRRO SÃO PAULO,-19.8686823,-43.9257935
BAIRRO UNIÃO,-19.8813877,-43.9219483
BAMBUÍ,-19.9488625,-43.9230584
BARÃO,-19.9035156,-43.9492633
BARÃO H DE MELO,-19.9518843,-43.9676328
BARÃO H MELO,-19.9518843,-43.9676328
BARÃO HOMEM DE MELO,-19.9518843,-43.9676328
BARÃO HOMEM MELO,-19.9518843,-43.9676328
BARBACENA,-19.9249092,-43.95267450000001
BARRAGEM,-19.9506299,-43.9467981
BARRAGEM DA PAMPULHA,-19.8434308,-43.966475
BARROCA,-19.9335355,-43.9634063
BARRO PRETO,-19.9233091,-43.95360820000001
BATALHÃO DA PMMG,-19.9166813,-43.9344931
BATALHÃO DOS BOMBEIROS,-19.9166813,-43.9344931
BELMIRO BRAGA,-19.9063842,-43.9719448
BELO HORIZONTE,-19.9166813,-43.9344931
BELVEDERE,-19.972686,-43.9370742
BERNARDO DE VASCONCELO,-19.8832382,-43.94001
BERNARDO DE VASCONCELOS,-19.8832382,-43.94001
BERNARDO GUIMARÃES,-19.9287391,-43.9414978
BERNARDO MONTEIRO,-19.925553,-43.9280797
BERNARDO VASCONCELOS,-19.8832382,-43.94001
BETIM,-19.9166813,-43.9344931
BH,-19.9166813,-43.9344931
BH SHOPPING,-19.9171731,-43.9454331
BIAS FORTES,-19.9257951,-43.9433275
B MONTEIRO,-19.8720261,-43.9843295
BOMBEIROS,-19.5635694,-44.4454915
BONSUCESSO,-19.9852968,-43.9874474
BOULEVARD ARRUDAS,-19.965171,-43.9477908
BR040,-19.9636049,-43.9987026
BR050,-19.9486762,-44.0074317
BR 262,-19.881958,-43.9581855
BR 356,-19.9826815,-43.9503294
BR 381,-19.8803396,-43.9538163
BRASIL,-19.9166813,-43.9344931
BRASÓPOLIS,-19.9191956,-43.9281381
BURITIS,-19.975593,-43.9682604
B VASCONCELOS,-19.8832382,-43.94001
CACHOEIRINHA,-19.8885847,-43.9479859
CAETÉS,-19.9163364,-43.939253
CAIÇARA,-19.9012987,-43.96673939999999
CALAFATE,-19.9260049,-43.97235879999999
CAPIVARI,-19.9408043,-43.9150634
CARANDAÍ,-19.9283335,-43.92784289999999
CARANGOLA,-19.9427279,-43.9424117
CARDEAL EUGÊNIO PACELLI,-19.9580483,-44.0307767
CARDIESEL,-19.9166813,-43.9344931
CARIJOS,-19.9163364,-43.939253
CARIJÓS,-19.9163364,-43.939253
CARLOS,-19.9149756,-43.95374049999999
CARLOS LUZ,-19.8871203,-43.9691608
CARLOS PRATES,-19.9149756,-43.95374049999999
CARREFOUR,-18.9109375,-48.2576625
CASTELO,-19.8822196,-43.9996134
CATALÃO,-19.8871203,-43.9691608
C COLOMBO,-19.9371509,-43.93609559999999
CEARÁ,-19.9295817,-43.9276914
CEF,-19.9166813,-43.9344931
CEFET 1,-19.9166813,-43.9344931
CEFET I,-19.9166813,-43.9344931
CEFET II,-19.9166813,-43.9344931
CEMITÉRIO DA PAZ,-19.8984774,-43.9630252
CENTRO,-19.9192706,-43.93866020000001
CENTRO SUL,-19.9732032,-44.05253810000001
CÉSAR CAMPOS,-19.9411006,-43.9531236
CHEVROLET HALL,-19.9166813,-43.9344931
CIDADE ADMINISTRATIVA,-19.7845829,-43.9495673
CIDADE JARDIM,-19.9166813,-43.9344931
CIDADE NOVA,-19.8898399,-43.9257935
CINQUENTENÁRIO,-19.9544347,-43.9830032
CIRCULO MILITAR,-19.9166813,-43.9344931
CÍRCULO MILITAR,-19.9166813,-43.9344931
CLAUDIO MANOEL,-19.933993,-43.9313034
C MACHADO,-19.9071211,-43.9336264
COBOM MG,-19.5635694,-44.4454915
COLÉGIO BATISTA,-19.9088642,-43.93652549999999
COLÉGIO LOYOLA,-19.9339973,-43.9512245
COLÉGIO MARISTA,-19.9166813,-43.9344931
COLÉGIO ORDEM,-19.9166813,-43.9344931
COLÉGIO ORDEM E PROGRESSO,-19.9166813,-43.9344931
COLÉGIO SALESIANO,-19.9166813,-43.9344931
COLÉGIO SANTO AGOSTINHO,-19.8972574,-43.918931
COLÔMBIA,-19.9537636,-43.9384113
COMENDADOR NOHME SALOMÃO,-19.9059831,-43.94461630000001
COMPLEXO DA LAGOINHA,-19.9074647,-43.9448709
COMPLEXO NA LAGOINHA,-19.9074647,-43.9448709
