ADELINO TESTE,-19.9166813,-43.9344931
ADELSON,-19.9166813,-43.9344931
ADEM,-19.8975798,-44.0031103
ADEMAR DIAS DUARTE,-19.9166813,-43.9344931
ADEMAR MACHADO,-19.9805327,-44.0283337
ADEMAR MARTINS VIEIRA,-19.8772727,-43.9834387
ADEMAR PARREIRAS DE MORAIS,-19.887,-43.9204137
ADEMAR PIMENTA BRANT,-19.9587934,-43.9154855
ADENIR PEREIRA DE SOUZA,-19.8837561,-44.01417379999999
ADENOR SIMOES FILHO,-20.0276068,-44.0268577
ADERBAL RODRIGUES VAZ,-19.975405,-44.04512039999999
ADERBAL TEIXEIRA ROCHA,-19.8035922,-43.9536094
ADERITO TAVORA,-19.8454245,-43.9403318
ADIB NACIF ELIAS,-19.9166813,-43.9344931
ADIL DE OLIVEIRA,-19.9166813,-43.9344931
ADILIO GREGORIO LOBAO,-19.7911763,-43.9714056
ADILSON PAULO DE SOUZA,-19.8237405,-43.9643581
ADMA SABA PAIVA,-19.8723364,-43.9796698
ADOLFO BEZERRA DE MENEZES,-19.8293255,-43.9468924
ADOLFO CIOLETTI,-20.0050032,-44.0077522
ADOLFO LIPPI FONSECA,-19.8340173,-44.0047984
ADOLFO LUTZ,-19.8315292,-43.9489559
ADOLFO MONTEIRO DE CASTRO,-19.9085289,-43.9690939
ADOLFO PEREIRA,-19.9494624,-43.9226091
ADOLFO RADICE,-19.9513928,-43.9201351
ADOLPHO DE OLIVEIRA PORTELA,-19.8916094,-43.9925989
ADONIAS FILHO,-19.9366434,-44.011717
ADONIS,-19.8519362,-43.9355714
ADORINO FERREIRA,-19.9248515,-44.0156179
ADRIANA,-19.9147429,-44.0200155
ADRIANA BERNARDO CESARIO,-20.0084838,-44.0396298
ADRIANA CANDEIA,-19.9166813,-43.9344931
ADRIANA NORBERTA,-19.9166813,-43.9344931
ADRIANO,-19.9493108,-43.9873924
ADRIANO CHAVES E MATOS,-19.9166813,-43.9344931
ADRIANO FONSECA FILHO,-19.8552706,-44.0100472
ADRIANO MODESTO,-19.8934633,-43.94868959999999
ADRIANO TRINDADE TEIXEIRA,-19.9166813,-43.9344931
ADUTORA,-19.9494995,-43.9746604
ADVANCE,-19.8362604,-43.90074509999999
AEROLITO,-19.9013302,-43.98083510000001
AEROPORTO,-19.8524132,-43.95509
AFEGANISTAO,-19.9868062,-44.0519305
AFFONSO DE ALMEIDA MAGALHAES,-19.8578345,-43.94846159999999
AFFONSO SILVIANO BRANDAO,-19.8570613,-43.88978609999999
AFLUENTES,-19.8873837,-44.0088611
AFONSO ALMEIDA MAGALHAES,-19.8578345,-43.94846159999999
AFONSO ALVES BRANCO,-19.9346045,-43.9212952
AFONSO ARINOS,-19.9254195,-43.9362853
AFONSO BARBOSA MELO,-19.9565554,-43.9494261
AFONSO CELSO,-19.8196787,-43.972741
AFONSO CLAUDIO,-19.8859937,-43.9386747
AFONSO COSTA REIS,-19.9685428,-43.9346834
